DATE,MATCHUP,SCORE,SPREAD,MINS,PROP_LINE,PTS,REBS,ASTS,3PTM,STLS,BLKS,FG%,FT%,3PT%
5/19,MIN,L 98-90,MIN +4.5,47,30.5,O 34,19,7,2,0,1,13-28 (46%),6-7 (86%),2-10 (20%)
5/16,@MIN,L 115-70,MIN -2.0,36,29.5,U 22,9,2,0,0,0,9-19 (47%),4-4 (100%),0-4 (0%)
5/14,MIN,W 112-97,DEN -4.5,41,29.5,O 40,7,13,2,2,1,15-22 (68%),8-9 (89%),2-3 (67%)
5/12,@MIN,W 115-107,DEN +3.5,39,27.5,O 35,7,7,1,3,1,15-26 (58%),4-6 (67%),1-5 (20%)
5/10,@MIN,W 117-90,DEN +3.5,38,28.5,U 24,14,9,1,3,3,10-18 (56%),3-4 (75%),1-3 (33%)
5/6,MIN,L 106-80,MIN +7.0,39,30.5,U 16,16,8,0,0,1,5-13 (38%),6-6 (100%),0-1 (0%)
5/4,MIN,L 106-99,MIN +4.5,41,28.5,O 32,8,9,2,3,0,11-25 (44%),8-8 (100%),2-9 (22%)
4/29,LAL,W 108-106,LAL +6.5,41,27.5,U 25,20,9,1,0,0,12-21 (57%),0-0 (0%),1-5 (20%)
4/27,@LAL,L 119-108,LAL +3.5,41,26.5,O 33,14,14,2,1,1,10-20 (50%),11-11 (100%),2-5 (40%)
4/25,@LAL,W 112-105,DEN +1.5,39,27.5,U 24,15,9,0,1,0,9-13 (69%),6-7 (86%),0-1 (0%)
4/22,LAL,W 101-99,LAL +7.0,41,28.5,U 27,20,10,2,2,0,9-16 (56%),7-7 (100%),2-4 (50%)
4/20,LAL,W 114-103,DEN -6.5,39,27.5,O 32,12,7,1,2,0,15-23 (65%),1-2 (50%),1-3 (33%)
4/14,@MEM,W 126-111,DEN -13.5,31,20,U 15,15,5,0,4,0,7-11 (64%),1-2 (50%),0-0 (0%)
4/12,@SAS,L 121-120,SAS +11.5,39,28.5,U 22,7,12,1,2,1,9-13 (69%),3-3 (100%),1-2 (50%)
4/10,MIN,W 116-107,DEN -7.5,38,26.5,O 41,11,7,2,3,0,16-20 (80%),7-12 (58%),2-2 (100%)
4/9,@UTH,W 111-95,DEN -15.5,34,28.5,U 28,13,7,2,3,1,12-20 (60%),2-2 (100%),2-2 (100%)
4/6,ATL,W 142-110,DEN -10.5,31,28.5,U 19,14,11,2,2,0,6-13 (46%),5-6 (83%),2-3 (67%)
4/4,@LAC,L 102-100,LAC +3.5,40,29.5,O 36,17,10,3,0,0,14-24 (58%),5-6 (83%),3-8 (38%)
4/2,SAS,W 110-105,SAS +15.5,38,27.5,O 42,16,6,1,1,2,18-32 (56%),5-6 (83%),1-6 (17%)
3/31,CLE,W 130-101,DEN -4.5,35,27.5,U 26,18,16,1,1,0,11-18 (61%),3-5 (60%),1-2 (50%)
3/29,MIN,L 111-98,MIN +3.0,37,27.5,O 32,10,5,0,2,1,11-24 (46%),10-13 (77%),0-3 (0%)
3/27,PHO,L 104-97,PHO +5.5,42,29.5,U 22,9,10,1,2,1,9-16 (56%),3-3 (100%),1-5 (20%)
3/25,MEM,W 128-103,DEN -12.5,31,27.5,O 29,11,8,1,3,1,11-18 (61%),6-7 (86%),1-2 (50%)
3/21,NYK,W 113-100,DEN -8.5,39,25.5,O 30,14,11,0,1,0,12-23 (52%),6-7 (86%),0-1 (0%)
3/19,@MIN,W 115-112,MIN +7.5,38,25.5,O 35,16,2,3,0,0,14-22 (64%),4-6 (67%),3-4 (75%)
3/17,@DAL,L 107-105,DAL +1.0,39,27.5,U 16,11,7,0,2,0,6-16 (38%),4-5 (80%),0-2 (0%)
3/15,@SAS,W 117-106,DEN -10.5,31,26.5,O 31,7,5,1,0,2,13-19 (68%),4-4 (100%),1-3 (33%)
3/13,@MIA,W 100-88,DEN -3.5,38,24.5,U 12,14,6,0,1,0,5-8 (63%),2-3 (67%),0-0 (0%)
3/11,TOR,W 125-119,TOR +17.0,38,26.5,O 35,17,12,1,6,2,14-26 (54%),6-6 (100%),1-3 (33%)
3/9,UTH,W 142-121,DEN -12.5,32,26.5,U 26,6,8,0,1,2,12-14 (86%),2-2 (100%),0-0 (0%)
3/7,BOS,W 115-109,DEN +2.0,39,26.5,O 32,12,11,0,2,0,11-19 (58%),10-10 (100%),0-0 (0%)
3/5,PHO,L 117-107,PHO +8.5,44,25.5,U 25,16,5,4,0,0,8-18 (44%),5-7 (71%),4-7 (57%)
3/2,@LAL,W 124-114,DEN -1.0,39,25.5,O 35,10,7,1,0,1,16-25 (64%),2-2 (100%),1-5 (20%)
2/29,MIA,W 103-97,MIA +6.5,38,24.5,U 18,11,7,0,1,2,6-15 (40%),6-6 (100%),0-3 (0%)
2/28,SAC,W 117-96,DEN -9.0,32,26.5,U 14,14,11,0,3,1,5-9 (56%),4-4 (100%),0-0 (0%)
2/25,@GSW,W 119-103,DEN +2.0,37,26.5,O 32,16,16,2,4,1,13-24 (54%),4-4 (100%),2-6 (33%)
2/23,@POR,W 127-112,DEN -8.5,35,27.5,O 29,15,14,1,2,1,12-17 (71%),4-5 (80%),1-3 (33%)
2/22,WAS,W 130-110,DEN -15.5,31,27.5,U 21,19,15,0,1,0,10-10 (100%),1-2 (50%),0-0 (0%)
2/14,SAC,L 102-98,SAC +5.5,39,31.5,U 15,5,8,0,0,1,6-17 (35%),3-4 (75%),0-6 (0%)
2/12,@MIL,L 112-95,MIL -1.0,32,26.5,O 29,12,8,2,0,0,13-25 (52%),1-3 (33%),2-5 (40%)
2/9,@SAC,L 135-106,SAC -3.0,30,28.5,U 23,8,7,1,3,0,9-17 (53%),4-5 (80%),1-1 (100%)
2/8,@LAL,W 114-106,DEN -3.0,36,26.5,U 24,13,9,2,0,3,9-20 (45%),4-4 (100%),2-6 (33%)
2/4,POR,W 112-103,POR +15.0,34,25.5,O 29,8,7,1,2,0,12-20 (60%),4-5 (80%),1-3 (33%)
2/2,POR,W 120-108,POR +14.5,38,26.5,O 27,22,12,1,1,2,11-16 (69%),4-4 (100%),1-1 (100%)
1/29,MIL,W 113-107,DEN -4.0,40,27.5,U 25,16,12,1,3,2,10-25 (40%),4-5 (80%),1-6 (17%)
1/27,PHI,W 111-105,PHI +8.5,37,26.5,U 26,16,7,0,2,0,8-16 (50%),10-16 (63%),0-1 (0%)
1/25,@NYK,L 122-84,NYK +2.5,27,27.5,O 31,11,3,2,0,0,13-18 (72%),3-3 (100%),2-3 (67%)
1/23,@IND,W 114-109,PUSH -5.0,37,27.5,O 31,13,10,3,0,1,13-19 (68%),2-2 (100%),3-4 (75%)
1/21,@WAS,W 113-104,WAS +12.5,36,26.5,O 42,12,8,0,2,2,15-20 (75%),12-14 (86%),0-0 (0%)
1/19,@BOS,W 102-100,DEN +7.0,38,25.5,O 34,12,9,2,0,0,14-22 (64%),4-4 (100%),2-4 (50%)
1/16,@PHI,L 126-121,PHI -1.5,38,24.5,O 25,19,3,0,1,1,11-20 (55%),3-4 (75%),0-2 (0%)
1/14,IND,W 117-109,IND +10.5,33,25.5,U 25,12,9,0,2,1,12-13 (92%),1-2 (50%),0-0 (0%)
1/12,NOR,W 125-113,DEN -5.5,32,24.5,O 27,10,14,1,0,1,11-17 (65%),4-4 (100%),1-2 (50%)
1/10,@UTH,L 124-111,UTH +6.5,30,24.5,O 27,11,6,1,1,0,8-9 (89%),10-12 (83%),1-1 (100%)
1/7,DET,W 131-114,DEN -16.0,25,26.5,U 4,7,16,0,0,5,2-3 (67%),0-0 (0%),0-0 (0%)
1/5,ORL,L 122-120,ORL +10.0,37,25.5,O 29,4,8,0,3,0,13-19 (68%),3-4 (75%),0-1 (0%)
1/4,@GSW,W 130-127,GSW +4.0,38,25.5,O 34,9,10,2,2,1,13-16 (81%),6-7 (86%),2-2 (100%)
1/1,CHA,W 111-93,DEN -17.0,28,25.5,P 13,11,6,0,1,1,6-7 (86%),1-1 (100%),0-0 (0%)
12/29,OKC,L 119-93,OKC +1.5,32,27.5,U 19,10,7,1,1,1,9-10 (90%),0-0 (0%),1-1 (100%)
12/28,MEM,W 142-105,DEN -9.0,30,27.5,U 26,14,10,1,0,2,11-11 (100%),3-3 (100%),1-1 (100%)
12/25,GSW,W 120-114,GSW +7.5,39,28.5,U 26,14,8,0,0,0,4-12 (33%),18-18 (100%),0-2 (0%)
12/23,@CHA,W 102-95,CHA +11.0,36,26.5,U 18,10,9,0,1,1,8-14 (57%),2-2 (100%),0-2 (0%)
12/22,@BKN,W 122-117,DEN -4.5,34,26.5,O 31,11,7,2,3,2,12-17 (71%),5-5 (100%),2-2 (100%)
12/20,@TOR,W 113-104,DEN -3.5,38,25.5,O 31,15,6,3,0,2,13-23 (57%),2-3 (67%),3-5 (60%)
12/18,DAL,W 130-104,DEN -8.0,28,27.5,U 8,9,7,0,2,0,3-8 (38%),2-2 (100%),0-1 (0%)
12/16,OKC,L 118-117,OKC +5.0,37,27.5,U 24,6,12,1,2,0,8-15 (53%),7-8 (88%),1-2 (50%)
12/14,BKN,W 124-101,DEN -9.5,30,27.5,U 26,14,10,0,1,0,8-12 (67%),10-12 (83%),0-2 (0%)
12/12,@CHI,W 114-106,DEN -6.5,16,29.5,U 4,9,6,0,0,0,2-5 (40%),0-0 (0%),0-0 (0%)
12/11,@ATL,W 129-122,DEN -3.5,36,28.5,U 25,8,9,1,3,2,9-13 (69%),6-7 (86%),1-1 (100%)
12/8,HOU,L 114-106,HOU +9.0,34,29.5,U 23,16,5,1,0,2,9-26 (35%),4-7 (57%),1-2 (50%)
12/6,@LAC,L 111-102,LAC -1.0,37,29.5,U 22,15,10,2,1,0,9-32 (28%),2-2 (100%),2-7 (29%)
12/2,@SAC,L 123-117,SAC -3.5,38,29.5,O 36,13,14,1,2,1,13-23 (57%),9-12 (75%),1-4 (25%)
12/1,@PHO,W 119-111,DEN -1.0,35,32.5,U 21,5,16,0,1,2,9-18 (50%),3-6 (50%),0-3 (0%)
11/29,HOU,W 134-124,PUSH -10.0,33,27.5,O 32,10,15,1,1,0,12-19 (63%),7-8 (88%),1-2 (50%)
11/26,SAS,W 132-120,DEN -10.5,34,31.5,O 39,11,9,0,1,0,17-29 (59%),5-5 (100%),0-0 (0%)
11/24,@HOU,L 105-86,HOU +3.0,42,29.5,O 38,19,8,3,3,0,14-31 (45%),7-11 (64%),3-8 (38%)
11/22,@ORL,L 124-119,ORL +3.5,36,30.5,U 30,13,12,1,3,2,12-18 (67%),5-5 (100%),1-2 (50%)
11/20,@DET,W 107-103,DET +9.5,15,30.5,U 9,5,5,1,0,1,4-8 (50%),0-0 (0%),1-4 (25%)
11/19,@CLE,L 121-109,CLE +4.5,28,29.5,U 18,10,7,0,1,1,8-13 (62%),2-5 (40%),0-0 (0%)
11/17,@NOR,L 115-110,NOR +5.0,36,32.5,U 26,16,18,1,1,1,10-20 (50%),5-5 (100%),1-8 (13%)
11/14,LAC,W 111-108,LAC +4.5,36,31.5,O 32,16,9,2,1,0,8-23 (35%),14-14 (100%),2-7 (29%)
11/12,@HOU,L 107-104,HOU +4.5,38,29.5,O 36,21,11,2,0,1,13-26 (50%),8-8 (100%),2-6 (33%)
11/8,GSW,W 108-105,GSW +4.5,37,29.5,O 35,13,5,1,3,1,14-25 (56%),6-10 (60%),1-8 (13%)
11/6,NOR,W 134-116,DEN -6.5,36,28.5,O 35,14,12,2,1,1,15-24 (63%),3-5 (60%),2-6 (33%)
11/4,CHI,W 123-101,DEN -9.0,33,26.5,O 28,16,9,1,3,0,9-16 (56%),9-9 (100%),1-3 (33%)
11/3,DAL,W 125-114,DEN -6.0,36,25.5,O 33,14,9,2,1,1,14-16 (88%),3-5 (60%),2-2 (100%)
11/1,@MIN,L 110-89,MIN +2.5,30,26.5,U 25,10,3,1,0,0,11-23 (48%),2-2 (100%),1-6 (17%)
10/30,UTH,W 110-102,UTH +8.5,35,27.5,U 27,10,11,1,0,2,12-16 (75%),2-5 (40%),1-3 (33%)
10/29,@OKC,W 128-95,DEN -3.5,30,26.5,O 28,14,5,1,0,0,12-16 (75%),3-3 (100%),1-2 (50%)
10/27,@MEM,W 108-104,MEM +6.0,35,26.5,U 22,12,7,1,1,1,8-14 (57%),5-6 (83%),1-4 (25%)
10/24,LAL,W 119-107,DEN -4.5,36,25.5,O 29,13,11,3,1,1,12-22 (55%),2-4 (50%),3-5 (60%)
