DATE,MATCHUP,SCORE,SPREAD,MINS,PROP_LINE,PTS,REBS,ASTS,3PTM,STLS,BLKS,FG%,FT%,3PT%
4/29,@DEN,L 108-106,LAL +6.5,44,27.5,O 30,9,11,3,4,0,11-21 (52%),5-7 (71%),3-7 (43%)
4/27,DEN,W 119-108,LAL +3.5,39,26.5,O 30,5,4,0,3,1,14-23 (61%),2-2 (100%),0-2 (0%)
4/25,DEN,L 112-105,DEN +1.5,42,25.5,O 26,6,9,1,2,1,12-20 (60%),1-2 (50%),1-6 (17%)
4/22,@DEN,L 101-99,LAL +7.0,38,25.5,O 26,8,12,3,2,2,9-19 (47%),5-7 (71%),3-6 (50%)
4/20,@DEN,L 114-103,DEN -6.5,41,24.5,O 27,6,8,3,1,1,10-16 (63%),4-5 (80%),3-5 (60%)
4/14,@NOR,W 124-108,LAL +1.5,38,25.5,O 28,11,17,0,5,1,11-20 (55%),6-6 (100%),0-2 (0%)
4/12,@MEM,W 123-120,MEM +15.5,41,23.5,O 37,9,5,3,2,0,13-20 (65%),8-11 (73%),3-7 (43%)
4/9,GSW,L 134-120,GSW -2.0,36,27.5,O 33,7,11,1,2,0,14-22 (64%),4-5 (80%),1-3 (33%)
4/6,CLE,W 116-97,LAL -5.0,36,24.5,U 24,5,12,1,1,1,10-18 (56%),3-5 (60%),1-5 (20%)
4/3,@WAS,W 125-120,WAS +13.0,36,24.5,O 25,7,9,0,3,0,9-18 (50%),7-9 (78%),0-1 (0%)
4/2,@TOR,W 128-111,LAL -13.5,29,25.5,U 23,4,9,1,0,0,10-12 (83%),2-5 (40%),1-1 (100%)
3/31,@BKN,W 116-104,LAL -7.0,37,24.5,O 40,7,5,9,0,0,13-17 (76%),5-6 (83%),9-10 (90%)
3/29,@IND,L 109-90,IND -3.5,35,24.5,U 16,10,8,0,0,0,6-12 (50%),4-4 (100%),0-3 (0%)
3/27,@MEM,W 136-124,LAL -4.5,35,27.5,U 23,14,12,0,1,0,8-14 (57%),7-11 (64%),0-1 (0%)
3/24,IND,W 150-145,LAL -2.5,38,28.5,U 26,5,10,2,1,1,8-19 (42%),8-8 (100%),2-4 (50%)
3/22,PHI,W 101-94,PHI +7.5,38,25.5,U 20,8,6,1,0,1,7-15 (47%),5-7 (71%),1-3 (33%)
3/18,ATL,W 136-105,LAL -9.0,29,25.5,U 25,7,10,2,0,0,10-14 (71%),3-3 (100%),2-5 (40%)
